date,interest_rate_t,inflation_t
1998-02-28,29.4375,18.03
1998-03-31,30,19.24
1998-04-30,30,20.74
1998-05-31,30.258064516129032,20.67
1998-06-30,32,20.69
1998-07-31,32,20.27
1998-08-31,32,18.94
1998-09-30,32,17.8
1998-10-31,32,17.09
1998-11-30,30.2,16.35
1998-12-31,26.64516129032258,16.7
1999-01-31,26,17.18
1999-02-28,24.5,15.38
1999-03-31,22.35483870967742,13.51
1999-04-30,19.6,11.17
1999-05-31,18.548387096774192,9.98
1999-06-30,18,8.96
1999-07-31,17.806451612903224,8.78
1999-08-31,16.516129032258064,9.28
1999-09-30,16,9.33
1999-10-31,15.580645161290322,9.32
1999-11-30,14,9.65
1999-12-31,12.387096774193548,9.23
2000-01-31,12,8.25
2000-02-29,12,8.89
2000-03-31,12,9.73
2000-04-30,12,9.96
2000-05-31,12,10
2000-06-30,12,9.68
2000-07-31,12,9.29
2000-08-31,12,9.1
2000-09-30,12,9.2
2000-10-31,12,8.99
2000-11-30,12,8.82
2000-12-31,12,8.75
2001-01-31,12,8.49
2001-02-28,12,8.06
2001-03-31,11.67741935483871,7.81
2001-04-30,11.5,7.98
2001-05-31,11.5,7.87
2001-06-30,11.5,7.93
2001-07-31,11.46774193548387,8.09
2001-08-31,10.516129032258064,8.03
2001-09-30,9.766666666666667,7.97
2001-10-31,9.370967741935484,8.01
2001-11-30,8.95,7.78
2001-12-31,8.629032258064516,7.65
2002-01-31,8.32258064516129,7.37
2002-02-28,8,6.7
2002-03-31,7.661290322580645,5.89
2002-04-30,6.716666666666667,5.65
2002-05-31,6.056451612903226,5.84
2002-06-30,5.516666666666667,6.25
2002-07-31,5.25,6.16
2002-08-31,5.25,5.98
2002-09-30,5.25,5.97
2002-10-31,5.25,6.37
2002-11-30,5.25,7.07
2002-12-31,5.25,6.99
2003-01-31,5.637096774193548,7.39
2003-02-28,6.25,7.24
2003-03-31,6.25,7.6
2003-04-30,6.316666666666666,7.85
2003-05-31,7.25,7.73
2003-06-30,7.25,7.21
2003-07-31,7.25,7.04
2003-08-31,7.25,7.26
2003-09-30,7.25,7.11
2003-10-31,7.25,6.58
2003-11-30,7.25,6.13
2003-12-31,7.25,6.49
2004-01-31,7.25,6.19
2004-02-29,7.189655172413793,6.28
2004-03-31,6.92741935483871,6.21
2004-04-30,6.75,5.49
2004-05-31,6.75,5.37
2004-06-30,6.75,6.07
2004-07-31,6.75,6.19
2004-08-31,6.75,5.89
2004-09-30,6.75,5.97
2004-10-31,6.75,5.9
2004-11-30,6.75,5.82
2004-12-31,6.653225806451613,5.5
2005-01-31,6.5,5.43
2005-02-28,6.5,5.25
2005-03-31,6.5,5.03
2005-04-30,6.5,5.01
2005-05-31,6.5,5.04
2005-06-30,6.5,4.83
2005-07-31,6.5,4.91
2005-08-31,6.5,4.88
2005-09-30,6.3,5.02
2005-10-31,6,5.27
2005-11-30,6,5.1
2005-12-31,6,4.85
2006-01-31,6,4.56
2006-02-28,6,4.19
2006-03-31,6,4.11
2006-04-30,6,4.12
2006-05-31,6.241935483870968,4.04
2006-06-30,6.333333333333333,3.94
2006-07-31,6.5,4.32
2006-08-31,6.580645161290323,4.72
2006-09-30,6.75,4.58
2006-10-31,7.008064516129032,4.19
2006-11-30,7.25,4.31
2006-12-31,7.362903225806452,4.48
2007-01-31,7.524193548387097,4.71
2007-02-28,7.776785714285714,5.25
2007-03-31,8.048387096774194,5.78
2007-04-30,8.25,6.26
2007-05-31,8.57258064516129,6.23
2007-06-30,8.85,6.03
2007-07-31,9.016129032258064,5.77
2007-08-31,9.25,5.22
2007-09-30,9.25,5
2007-10-31,9.25,5.16
2007-11-30,9.291666666666666,5.41
2007-12-31,9.5,5.69
2008-01-31,9.5,6
2008-02-29,9.543103448275861,6.35
2008-03-31,9.75,5.93
2008-04-30,9.75,5.73
2008-05-31,9.75,6.39
2008-06-30,9.75,7.18
2008-07-31,9.78225806451613,7.52
2008-08-31,10,7.87
2008-09-30,10,7.57
2008-10-31,10,7.94
2008-11-30,10,7.73
2008-12-31,9.838709677419354,7.67
2009-01-31,9.5,7.18
2009-02-28,9.017857142857142,6.47
2009-03-31,7.774193548387097,6.14
2009-04-30,7,5.73
2009-05-31,6.096774193548387,4.77
2009-06-30,4.866666666666666,3.81
2009-07-31,4.5,3.28
2009-08-31,4.5,3.13
2009-09-30,4.45,3.21
2009-10-31,4,2.72
2009-11-30,3.8833333333333333,2.37
2009-12-31,3.5,2
2010-01-31,3.5,2.1
2010-02-28,3.5,2.09
2010-03-31,3.5,1.84
2010-04-30,3.5,1.98
2010-05-31,3.032258064516129,2.07
2010-06-30,3,2.25
2010-07-31,3,2.24
2010-08-31,3,2.31
2010-09-30,3,2.28
2010-10-31,3,2.33
2010-11-30,3,2.59
2010-12-31,3,3.17
2011-01-31,3,3.4
2011-02-28,3.0089285714285716,3.17
2011-03-31,3.3306451612903225,3.19
2011-04-30,3.5,2.84
2011-05-31,3.75,3.02
2011-06-30,4.091666666666667,3.23
2011-07-31,4.25,3.42
2011-08-31,4.5,3.27
2011-09-30,4.5,3.73
2011-10-31,4.5,4.02
2011-11-30,4.525,3.96
2011-12-31,4.75,3.73
2012-01-31,4.758064516129032,3.54
2012-02-29,5.025862068965517,3.55
2012-03-31,5.25,3.4
2012-04-30,5.25,3.43
2012-05-31,5.25,3.44
2012-06-30,5.25,3.2
2012-07-31,5.233870967741935,3.03
2012-08-31,4.959677419354839,3.11
2012-09-30,4.75,3.08
2012-10-31,4.75,3.06
2012-11-30,4.708333333333333,2.77
2012-12-31,4.435483870967742,2.44
2013-01-31,4.225806451612903,2
2013-02-28,3.9642857142857144,1.83
2013-03-31,3.653225806451613,1.91
2013-04-30,3.25,2.02
2013-05-31,3.25,2
2013-06-30,3.25,2.16
2013-07-31,3.25,2.22
2013-08-31,3.25,2.27
2013-09-30,3.25,2.27
2013-10-31,3.25,1.84
2013-11-30,3.25,1.76
2013-12-31,3.25,1.94
2014-01-31,3.25,2.13
2014-02-28,3.25,2.32
2014-03-31,3.25,2.51
2014-04-30,3.275,2.72
2014-05-31,3.5,2.93
2014-06-30,3.7916666666666665,2.79
2014-07-31,4,2.89
2014-08-31,4.25,3.02
2014-09-30,4.5,2.86
2014-10-31,4.5,3.29
2014-11-30,4.5,3.65
2014-12-31,4.5,3.66
2015-01-31,4.5,3.82
2015-02-28,4.5,4.36
2015-03-31,4.5,4.56
2015-04-30,4.5,4.64
2015-05-31,4.5,4.41
2015-06-30,4.5,4.42
2015-07-31,4.5,4.46
2015-08-31,4.5,4.74
2015-09-30,4.525,5.35
2015-10-31,4.75,5.89
2015-11-30,5.225,6.39
2015-12-31,5.588709677419355,6.77
2016-01-31,5.75,7.45
2016-02-29,6.068965517241379,7.59
2016-03-31,6.330645161290323,7.98
2016-04-30,6.5,7.93
2016-05-31,6.991935483870968,8.2
2016-06-30,7.316666666666666,8.6
2016-07-31,7.5,8.97
2016-08-31,7.75,8.1
2016-09-30,7.75,7.27
2016-10-31,7.75,6.48
2016-11-30,7.75,5.96
2016-12-31,7.645161290322581,5.75
2017-01-31,7.5,5.47
2017-02-28,7.482142857142857,5.18
2017-03-31,7.209677419354839,4.69
2017-04-30,7,4.66
2017-05-31,6.5,4.37
2017-06-30,6.25,3.99
2017-07-31,5.766129032258065,3.4
2017-08-31,5.5,3.87
2017-09-30,5.25,3.97
2017-10-31,5.233870967741935,4.05
2017-11-30,4.966666666666667,4.12
2017-12-31,4.75,4.09
2018-01-31,4.733870967741935,3.68
2018-02-28,4.5,3.37
2018-03-31,4.5,3.14
2018-04-30,4.491666666666666,3.13
2018-05-31,4.25,3.16
2018-06-30,4.25,3.2
2018-07-31,4.25,3.12
2018-08-31,4.25,3.1
2018-09-30,4.25,3.23
2018-10-31,4.25,3.33
2018-11-30,4.25,3.27
2018-12-31,4.25,3.18
2019-01-31,4.25,3.15
2019-02-28,4.25,3.01
2019-03-31,4.25,3.21
2019-04-30,4.25,3.25
2019-05-31,4.25,3.31
2019-06-30,4.25,3.43
2019-07-31,4.25,3.79
2019-08-31,4.25,3.75
2019-09-30,4.25,3.82
2019-10-31,4.25,3.86
2019-11-30,4.25,3.84
2019-12-31,4.25,3.8
2020-01-31,4.25,3.62
2020-02-29,4.25,3.72
2020-03-31,4.217741935483871,3.86
2020-04-30,3.75,3.51
2020-05-31,3.2983870967741935,2.85
2020-06-30,2.75,2.19
2020-07-31,2.5,1.97
2020-08-31,2.2661290322580645,1.88
2020-09-30,1.975,1.97
2020-10-31,1.75,1.75
2020-11-30,1.75,1.49
2020-12-31,1.75,1.61
2021-01-31,1.75,1.6
2021-02-28,1.75,1.56
2021-03-31,1.75,1.51
2021-04-30,1.75,1.95
2021-05-31,1.75,3.3
2021-06-30,1.75,3.63
2021-07-31,1.75,3.97
2021-08-31,1.75,4.44
2021-09-30,1.75,4.51
2021-10-31,2,4.58
2021-11-30,2.4833333333333334,5.26
2021-12-31,2.693548387096774,5.62
2022-01-31,3.032258064516129,6.94
2022-02-28,4,8.01
2022-03-31,4,8.53
2022-04-30,5,9.23
2022-05-31,5.967741935483871,9.07
2022-06-30,6,9.67
2022-07-31,7.5,10.21
2022-08-31,9,10.84
2022-09-30,9.033333333333333,11.44
2022-10-31,10.03225806451613,12.22
2022-11-30,11,12.53
2022-12-31,11.419354838709678,13.12
2023-01-31,12.048387096774194,13.25
2023-02-28,12.75,13.28
2023-03-31,12.758064516129032,13.34
2023-04-30,13,12.82
2023-05-31,13.241935483870968,12.36
2023-06-30,13.25,12.13
2023-07-31,13.25,11.78
2023-08-31,13.25,11.43
2023-09-30,13.25,10.99
2023-10-31,13.25,10.48
2023-11-30,13.25,10.15
2023-12-31,13.153225806451612,9.28
2024-01-31,13,8.35
2024-02-29,12.75,7.74
2024-03-31,12.653225806451612,7.36
2024-04-30,12.25,7.16
2024-05-31,11.766129032258064,7.16
2024-06-30,11.75,7.18
2024-07-31,11.266129032258064,6.86
2024-08-31,10.75,6.12
2024-09-30,10.75,5.81
2024-10-31,10.25,5.41
2024-11-30,9.75,5.2
2024-12-31,9.675,5.2
2025-01-31,9.5,5.22
2025-02-28,9.5,5.28
2025-03-31,9.5,NA
